Kod pocztowy,Powiat,Gmina
34-360,żywiecki,Milówka
84-222,wejherowski,Linia
89-122,nakielski,Nakło nad Notecią
78-651,wałecki,Mirosławiec
58-422,kamiennogórski,Lubawka
33-343,nowosądecki,Piwniczna-Zdrój
63-648,kępiński,Baranów
58-214,dzierżoniowski,Łagiewniki
74-405,myśliborski,Dębno
33-383,nowosądecki,Krynica-Zdrój
62-063,poznański,Stęszew
87-800,włocławski,Włocławek
87-607,lipnowski,Dobrzyń nad Wisłą
39-209,dębicki,Żyraków
37-622,lubaczowski,Horyniec-Zdrój
37-514,jarosławski,Jarosław
38-321,gorlicki,Moszczenica
58-116,dzierżoniowski,Dzierżoniów
36-054,rzeszowski,Świlcza
84-123,pucki,Puck
72-330,gryficki,Trzebiatów
44-325,wodzisławski,Mszana
83-321,kartuski,Sulęczyno
10-374,olsztyński,Dywity
41-408,Mysłowice,Mysłowice
41-400,Mysłowice,Mysłowice
41-409,Mysłowice,Mysłowice
41-404,Mysłowice,Mysłowice
41-406,Mysłowice,Mysłowice
41-412,Mysłowice,Mysłowice
05-860,warszawski zachodni,Ożarów Mazowiecki
42-595,będziński,Bobrowniki
42-300,myszkowski,Myszków
38-506,sanocki,Bukowsko
64-814,chodzieski,Szamocin
78-642,wałecki,Wałcz
77-127,bytowski,Parchowo
42-620,tarnogórski,Świerklaniec
39-110,ropczycko-,Wielopole Skrzyńskie
38-504,sanocki,Sanok
36-047,rzeszowski,Boguchwała
33-205,dąbrowski,Dąbrowa Tarnowska
57-224,ząbkowicki,Ziębice
57-222,ząbkowicki,Ziębice
64-903,czarnkowsko-,Trzcianka
86-032,bydgoski,Osielsko
36-052,rzeszowski,Sokołów Małopolski
32-005,wielicki,Niepołomice
30-900,wielicki,Niepołomice
87-730,aleksandrowski,Nieszawa
64-604,poznański,Murowana Goślina
77-132,bytowski,Bytów
42-624,tarnogórski,Ożarowice
10-376,olsztyński,Barczewo
48-321,nyski,Nysa
76-122,sławieński,Sławno
36-046,rzeszowski,Boguchwała
33-151,tarnowski,Lisia Góra
59-818,lubański,Siekierczyn
57-402,kłodzki,Nowa Ruda
57-401,kłodzki,Nowa Ruda
88-235,radziejowski,Piotrków Kujawski
36-001,rzeszowski,Trzebownisko
59-525,złotoryjski,Pielgrzymka
57-431,kłodzki,Nowa Ruda
42-622,tarnogórski,Świerklaniec
08-103,siedlecki,Siedlce
07-206,wyszkowski,Somianka
83-433,kościerski,Stara Kiszewa
06-124,pułtuski,Gzy
05-100,nowodworski,Nowy Dwór Mazowiecki
05-160,nowodworski,Nowy Dwór Mazowiecki
37-612,lubaczowski,Cieszanów
57-511,kłodzki,Bystrzyca Kłodzka
77-115,bytowski,Czarna Dąbrówka
48-304,nyski,Nysa
59-335,lubiński,Lubin
32-003,wielicki,Niepołomice
32-040,krakowski,Świątniki Górne
34-452,nowotarski,Ochotnica Dolna
34-453,nowotarski,Ochotnica Dolna
32-047,krakowski,Skała
87-511,rypiński,Skrwilno
39-100,ropczycko-,Ropczyce
21-480,łukowski,Krzywda
78-513,drawski,Drawsko Pomorskie
59-517,złotoryjski,Zagrodno
38-722,leski,Olszanica
10-241,Olsztyn,Olsztyn
10-327,Olsztyn,Olsztyn
10-179,Olsztyn,Olsztyn
10-147,Olsztyn,Olsztyn
10-148,Olsztyn,Olsztyn
10-151,Olsztyn,Olsztyn
10-640,Olsztyn,Olsztyn
10-693,Olsztyn,Olsztyn
10-072,Olsztyn,Olsztyn
10-165,Olsztyn,Olsztyn
10-016,Olsztyn,Olsztyn
10-705,Olsztyn,Olsztyn
10-706,Olsztyn,Olsztyn
10-683,Olsztyn,Olsztyn
10-696,Olsztyn,Olsztyn
10-686,Olsztyn,Olsztyn
10-136,Olsztyn,Olsztyn
10-135,Olsztyn,Olsztyn
10-176,Olsztyn,Olsztyn
10-144,Olsztyn,Olsztyn
10-175,Olsztyn,Olsztyn
10-628,Olsztyn,Olsztyn
10-022,Olsztyn,Olsztyn
10-685,Olsztyn,Olsztyn
10-061,Olsztyn,Olsztyn
10-699,Olsztyn,Olsztyn
10-855,Olsztyn,Olsztyn
10-066,Olsztyn,Olsztyn
10-138,Olsztyn,Olsztyn
10-673,Olsztyn,Olsztyn
10-666,Olsztyn,Olsztyn
10-667,Olsztyn,Olsztyn
10-662,Olsztyn,Olsztyn
10-668,Olsztyn,Olsztyn
10-751,Olsztyn,Olsztyn
10-862,Olsztyn,Olsztyn
10-137,Olsztyn,Olsztyn
10-166,Olsztyn,Olsztyn
10-033,Olsztyn,Olsztyn
10-087,Olsztyn,Olsztyn
10-242,Olsztyn,Olsztyn
10-669,Olsztyn,Olsztyn
10-177,Olsztyn,Olsztyn
10-417,Olsztyn,Olsztyn
10-424,Olsztyn,Olsztyn
10-154,Olsztyn,Olsztyn
10-243,Olsztyn,Olsztyn
10-429,Olsztyn,Olsztyn
10-842,Olsztyn,Olsztyn
10-843,Olsztyn,Olsztyn
10-244,Olsztyn,Olsztyn
10-856,Olsztyn,Olsztyn
10-840,Olsztyn,Olsztyn
10-841,Olsztyn,Olsztyn
10-332,Olsztyn,Olsztyn
10-313,Olsztyn,Olsztyn
10-670,Olsztyn,Olsztyn
10-720,Olsztyn,Olsztyn
10-110,Olsztyn,Olsztyn
10-109,Olsztyn,Olsztyn
10-111,Olsztyn,Olsztyn
10-112,Olsztyn,Olsztyn
10-139,Olsztyn,Olsztyn
10-329,Olsztyn,Olsztyn
10-330,Olsztyn,Olsztyn
10-635,Olsztyn,Olsztyn
10-636,Olsztyn,Olsztyn
10-171,Olsztyn,Olsztyn
10-538,Olsztyn,Olsztyn
10-539,Olsztyn,Olsztyn
10-540,Olsztyn,Olsztyn
10-541,Olsztyn,Olsztyn
10-542,Olsztyn,Olsztyn
10-543,Olsztyn,Olsztyn
10-158,Olsztyn,Olsztyn
10-698,Olsztyn,Olsztyn
10-024,Olsztyn,Olsztyn
10-650,Olsztyn,Olsztyn
10-651,Olsztyn,Olsztyn
10-858,Olsztyn,Olsztyn
10-752,Olsztyn,Olsztyn
10-413,Olsztyn,Olsztyn
10-414,Olsztyn,Olsztyn
10-436,Olsztyn,Olsztyn
10-437,Olsztyn,Olsztyn
10-438,Olsztyn,Olsztyn
10-723,Olsztyn,Olsztyn
10-069,Olsztyn,Olsztyn
10-091,Olsztyn,Olsztyn
10-861,Olsztyn,Olsztyn
10-672,Olsztyn,Olsztyn
10-209,Olsztyn,Olsztyn
10-210,Olsztyn,Olsztyn
10-212,Olsztyn,Olsztyn
10-211,Olsztyn,Olsztyn
10-692,Olsztyn,Olsztyn
10-358,Olsztyn,Olsztyn
10-359,Olsztyn,Olsztyn
10-089,Olsztyn,Olsztyn
10-254,Olsztyn,Olsztyn
10-608,Olsztyn,Olsztyn
10-609,Olsztyn,Olsztyn
10-516,Olsztyn,Olsztyn
10-088,Olsztyn,Olsztyn
10-691,Olsztyn,Olsztyn
10-170,Olsztyn,Olsztyn
10-447,Olsztyn,Olsztyn
10-448,Olsztyn,Olsztyn
10-563,Olsztyn,Olsztyn
10-564,Olsztyn,Olsztyn
10-631,Olsztyn,Olsztyn
10-632,Olsztyn,Olsztyn
10-634,Olsztyn,Olsztyn
10-625,Olsztyn,Olsztyn
10-633,Olsztyn,Olsztyn
10-040,Olsztyn,Olsztyn
10-766,Olsztyn,Olsztyn
10-161,Olsztyn,Olsztyn
10-056,Olsztyn,Olsztyn
10-660,Olsztyn,Olsztyn
10-824,Olsztyn,Olsztyn
10-825,Olsztyn,Olsztyn
10-579,Olsztyn,Olsztyn
10-123,Olsztyn,Olsztyn
10-124,Olsztyn,Olsztyn
10-126,Olsztyn,Olsztyn
10-125,Olsztyn,Olsztyn
10-745,Olsztyn,Olsztyn
10-820,Olsztyn,Olsztyn
10-048,Olsztyn,Olsztyn
10-711,Olsztyn,Olsztyn
10-724,Olsztyn,Olsztyn
10-585,Olsztyn,Olsztyn
10-586,Olsztyn,Olsztyn
10-754,Olsztyn,Olsztyn
10-131,Olsztyn,Olsztyn
10-132,Olsztyn,Olsztyn
10-271,Olsztyn,Olsztyn
10-272,Olsztyn,Olsztyn
10-273,Olsztyn,Olsztyn
10-274,Olsztyn,Olsztyn
10-283,Olsztyn,Olsztyn
10-238,Olsztyn,Olsztyn
10-237,Olsztyn,Olsztyn
10-240,Olsztyn,Olsztyn
10-239,Olsztyn,Olsztyn
10-357,Olsztyn,Olsztyn
10-356,Olsztyn,Olsztyn
10-186,Olsztyn,Olsztyn
10-101,Olsztyn,Olsztyn
10-102,Olsztyn,Olsztyn
10-427,Olsztyn,Olsztyn
10-039,Olsztyn,Olsztyn
10-379,Olsztyn,Olsztyn
10-690,Olsztyn,Olsztyn
10-153,Olsztyn,Olsztyn
10-852,Olsztyn,Olsztyn
10-323,Olsztyn,Olsztyn
10-324,Olsztyn,Olsztyn
10-814,Olsztyn,Olsztyn
10-815,Olsztyn,Olsztyn
10-164,Olsztyn,Olsztyn
10-064,Olsztyn,Olsztyn
10-189,Olsztyn,Olsztyn
10-188,Olsztyn,Olsztyn
10-286,Olsztyn,Olsztyn
10-769,Olsztyn,Olsztyn
10-614,Olsztyn,Olsztyn
10-615,Olsztyn,Olsztyn
10-169,Olsztyn,Olsztyn
10-130,Olsztyn,Olsztyn
10-129,Olsztyn,Olsztyn
10-648,Olsztyn,Olsztyn
10-649,Olsztyn,Olsztyn
10-713,Olsztyn,Olsztyn
10-529,Olsztyn,Olsztyn
10-528,Olsztyn,Olsztyn
10-021,Olsztyn,Olsztyn
10-051,Olsztyn,Olsztyn
10-454,Olsztyn,Olsztyn
10-173,Olsztyn,Olsztyn
10-362,Olsztyn,Olsztyn
10-363,Olsztyn,Olsztyn
10-184,Olsztyn,Olsztyn
10-721,Olsztyn,Olsztyn
10-340,Olsztyn,Olsztyn
10-341,Olsztyn,Olsztyn
10-342,Olsztyn,Olsztyn
10-343,Olsztyn,Olsztyn
10-163,Olsztyn,Olsztyn
10-534,Olsztyn,Olsztyn
10-535,Olsztyn,Olsztyn
10-065,Olsztyn,Olsztyn
10-104,Olsztyn,Olsztyn
10-103,Olsztyn,Olsztyn
10-121,Olsztyn,Olsztyn
10-055,Olsztyn,Olsztyn
10-404,Olsztyn,Olsztyn
10-405,Olsztyn,Olsztyn
10-406,Olsztyn,Olsztyn
10-407,Olsztyn,Olsztyn
10-409,Olsztyn,Olsztyn
10-408,Olsztyn,Olsztyn
10-410,Olsztyn,Olsztyn
10-610,Olsztyn,Olsztyn
10-611,Olsztyn,Olsztyn
10-182,Olsztyn,Olsztyn
10-680,Olsztyn,Olsztyn
10-676,Olsztyn,Olsztyn
10-679,Olsztyn,Olsztyn
10-859,Olsztyn,Olsztyn
10-426,Olsztyn,Olsztyn
10-117,Olsztyn,Olsztyn
10-118,Olsztyn,Olsztyn
10-119,Olsztyn,Olsztyn
10-848,Olsztyn,Olsztyn
10-849,Olsztyn,Olsztyn
10-255,Olsztyn,Olsztyn
10-316,Olsztyn,Olsztyn
10-293,Olsztyn,Olsztyn
10-113,Olsztyn,Olsztyn
10-052,Olsztyn,Olsztyn
10-013,Olsztyn,Olsztyn
10-774,Olsztyn,Olsztyn
10-575,Olsztyn,Olsztyn
10-576,Olsztyn,Olsztyn
10-577,Olsztyn,Olsztyn
10-578,Olsztyn,Olsztyn
10-450,Olsztyn,Olsztyn
10-950,Olsztyn,Olsztyn
10-449,Olsztyn,Olsztyn
10-090,Olsztyn,Olsztyn
10-763,Olsztyn,Olsztyn
10-664,Olsztyn,Olsztyn
10-517,Olsztyn,Olsztyn
10-518,Olsztyn,Olsztyn
10-512,Olsztyn,Olsztyn
10-519,Olsztyn,Olsztyn
10-612,Olsztyn,Olsztyn
10-613,Olsztyn,Olsztyn
10-603,Olsztyn,Olsztyn
10-548,Olsztyn,Olsztyn
10-549,Olsztyn,Olsztyn
10-551,Olsztyn,Olsztyn
10-550,Olsztyn,Olsztyn
10-509,Olsztyn,Olsztyn
10-508,Olsztyn,Olsztyn
10-054,Olsztyn,Olsztyn
10-031,Olsztyn,Olsztyn
10-032,Olsztyn,Olsztyn
10-768,Olsztyn,Olsztyn
10-756,Olsztyn,Olsztyn
10-036,Olsztyn,Olsztyn
10-037,Olsztyn,Olsztyn
10-275,Olsztyn,Olsztyn
10-325,Olsztyn,Olsztyn
10-326,Olsztyn,Olsztyn
10-145,Olsztyn,Olsztyn
10-337,Olsztyn,Olsztyn
10-537,Olsztyn,Olsztyn
10-536,Olsztyn,Olsztyn
10-684,Olsztyn,Olsztyn
10-078,Olsztyn,Olsztyn
10-172,Olsztyn,Olsztyn
10-581,Olsztyn,Olsztyn
10-816,Olsztyn,Olsztyn
10-817,Olsztyn,Olsztyn
10-642,Olsztyn,Olsztyn
10-643,Olsztyn,Olsztyn
10-345,Olsztyn,Olsztyn
10-346,Olsztyn,Olsztyn
10-347,Olsztyn,Olsztyn
10-348,Olsztyn,Olsztyn
10-045,Olsztyn,Olsztyn
10-047,Olsztyn,Olsztyn
10-044,Olsztyn,Olsztyn
10-046,Olsztyn,Olsztyn
10-566,Olsztyn,Olsztyn
10-162,Olsztyn,Olsztyn
10-725,Olsztyn,Olsztyn
10-606,Olsztyn,Olsztyn
10-607,Olsztyn,Olsztyn
10-092,Olsztyn,Olsztyn
10-719,Olsztyn,Olsztyn
10-213,Olsztyn,Olsztyn
10-214,Olsztyn,Olsztyn
10-216,Olsztyn,Olsztyn
10-215,Olsztyn,Olsztyn
10-218,Olsztyn,Olsztyn
10-767,Olsztyn,Olsztyn
10-080,Olsztyn,Olsztyn
10-707,Olsztyn,Olsztyn
10-708,Olsztyn,Olsztyn
10-028,Olsztyn,Olsztyn
10-029,Olsztyn,Olsztyn
10-288,Olsztyn,Olsztyn
10-418,Olsztyn,Olsztyn
10-644,Olsztyn,Olsztyn
10-645,Olsztyn,Olsztyn
10-049,Olsztyn,Olsztyn
10-050,Olsztyn,Olsztyn
10-602,Olsztyn,Olsztyn
10-601,Olsztyn,Olsztyn
10-832,Olsztyn,Olsztyn
10-833,Olsztyn,Olsztyn
10-688,Olsztyn,Olsztyn
10-294,Olsztyn,Olsztyn
10-295,Olsztyn,Olsztyn
10-205,Olsztyn,Olsztyn
10-206,Olsztyn,Olsztyn
10-207,Olsztyn,Olsztyn
10-208,Olsztyn,Olsztyn
10-185,Olsztyn,Olsztyn
10-201,Olsztyn,Olsztyn
10-202,Olsztyn,Olsztyn
10-203,Olsztyn,Olsztyn
10-259,Olsztyn,Olsztyn
10-260,Olsztyn,Olsztyn
10-261,Olsztyn,Olsztyn
10-262,Olsztyn,Olsztyn
10-116,Olsztyn,Olsztyn
10-565,Olsztyn,Olsztyn
10-333,Olsztyn,Olsztyn
10-334,Olsztyn,Olsztyn
10-336,Olsztyn,Olsztyn
10-335,Olsztyn,Olsztyn
10-030,Olsztyn,Olsztyn
10-804,Olsztyn,Olsztyn
10-805,Olsztyn,Olsztyn
10-009,Olsztyn,Olsztyn
10-142,Olsztyn,Olsztyn
10-149,Olsztyn,Olsztyn
10-150,Olsztyn,Olsztyn
10-844,Olsztyn,Olsztyn
10-845,Olsztyn,Olsztyn
10-678,Olsztyn,Olsztyn
10-758,Olsztyn,Olsztyn
10-530,Olsztyn,Olsztyn
10-531,Olsztyn,Olsztyn
10-073,Olsztyn,Olsztyn
10-115,Olsztyn,Olsztyn
10-063,Olsztyn,Olsztyn
10-801,Olsztyn,Olsztyn
10-802,Olsztyn,Olsztyn
10-267,Olsztyn,Olsztyn
10-268,Olsztyn,Olsztyn
10-269,Olsztyn,Olsztyn
10-830,Olsztyn,Olsztyn
10-831,Olsztyn,Olsztyn
10-682,Olsztyn,Olsztyn
10-421,Olsztyn,Olsztyn
10-709,Olsztyn,Olsztyn
10-369,Olsztyn,Olsztyn
10-747,Olsztyn,Olsztyn
10-718,Olsztyn,Olsztyn
10-658,Olsztyn,Olsztyn
10-659,Olsztyn,Olsztyn
10-382,Olsztyn,Olsztyn
10-761,Olsztyn,Olsztyn
10-187,Olsztyn,Olsztyn
10-623,Olsztyn,Olsztyn
10-624,Olsztyn,Olsztyn
10-544,Olsztyn,Olsztyn
10-545,Olsztyn,Olsztyn
10-082,Olsztyn,Olsztyn
10-081,Olsztyn,Olsztyn
10-083,Olsztyn,Olsztyn
10-702,Olsztyn,Olsztyn
10-701,Olsztyn,Olsztyn
10-762,Olsztyn,Olsztyn
10-627,Olsztyn,Olsztyn
10-183,Olsztyn,Olsztyn
10-765,Olsztyn,Olsztyn
10-652,Olsztyn,Olsztyn
10-653,Olsztyn,Olsztyn
10-446,Olsztyn,Olsztyn
10-180,Olsztyn,Olsztyn
10-834,Olsztyn,Olsztyn
10-835,Olsztyn,Olsztyn
10-159,Olsztyn,Olsztyn
10-773,Olsztyn,Olsztyn
10-663,Olsztyn,Olsztyn
10-360,Olsztyn,Olsztyn
10-258,Olsztyn,Olsztyn
10-361,Olsztyn,Olsztyn
10-192,Olsztyn,Olsztyn
10-321,Olsztyn,Olsztyn
10-322,Olsztyn,Olsztyn
10-067,Olsztyn,Olsztyn
10-127,Olsztyn,Olsztyn
10-857,Olsztyn,Olsztyn
10-190,Olsztyn,Olsztyn
10-038,Olsztyn,Olsztyn
10-225,Olsztyn,Olsztyn
10-290,Olsztyn,Olsztyn
10-291,Olsztyn,Olsztyn
10-292,Olsztyn,Olsztyn
10-224,Olsztyn,Olsztyn
10-227,Olsztyn,Olsztyn
10-229,Olsztyn,Olsztyn
10-226,Olsztyn,Olsztyn
10-228,Olsztyn,Olsztyn
10-230,Olsztyn,Olsztyn
10-247,Olsztyn,Olsztyn
10-248,Olsztyn,Olsztyn
10-250,Olsztyn,Olsztyn
10-366,Olsztyn,Olsztyn
10-367,Olsztyn,Olsztyn
10-287,Olsztyn,Olsztyn
10-457,Olsztyn,Olsztyn
10-455,Olsztyn,Olsztyn
10-106,Olsztyn,Olsztyn
10-105,Olsztyn,Olsztyn
10-681,Olsztyn,Olsztyn
10-279,Olsztyn,Olsztyn
10-280,Olsztyn,Olsztyn
10-074,Olsztyn,Olsztyn
10-068,Olsztyn,Olsztyn
10-806,Olsztyn,Olsztyn
10-807,Olsztyn,Olsztyn
10-141,Olsztyn,Olsztyn
10-301,Olsztyn,Olsztyn
10-302,Olsztyn,Olsztyn
10-303,Olsztyn,Olsztyn
10-305,Olsztyn,Olsztyn
10-307,Olsztyn,Olsztyn
10-309,Olsztyn,Olsztyn
10-310,Olsztyn,Olsztyn
10-380,Olsztyn,Olsztyn
10-770,Olsztyn,Olsztyn
10-712,Olsztyn,Olsztyn
10-133,Olsztyn,Olsztyn
10-160,Olsztyn,Olsztyn
10-419,Olsztyn,Olsztyn
10-350,Olsztyn,Olsztyn
10-351,Olsztyn,Olsztyn
10-352,Olsztyn,Olsztyn
10-353,Olsztyn,Olsztyn
10-354,Olsztyn,Olsztyn
10-355,Olsztyn,Olsztyn
10-070,Olsztyn,Olsztyn
10-810,Olsztyn,Olsztyn
10-811,Olsztyn,Olsztyn
10-556,Olsztyn,Olsztyn
10-557,Olsztyn,Olsztyn
10-559,Olsztyn,Olsztyn
10-558,Olsztyn,Olsztyn
10-561,Olsztyn,Olsztyn
10-560,Olsztyn,Olsztyn
10-140,Olsztyn,Olsztyn
10-689,Olsztyn,Olsztyn
10-822,Olsztyn,Olsztyn
10-823,Olsztyn,Olsztyn
33-164,tarnowski,Rzepiennik Strzyżewski
32-831,tarnowski,Wojnicz
44-353,wodzisławski,Gorzyce
38-247,tarnowski,Szerzyny
38-123,strzyżowski,Wiśniowa
45-678,Opole,Opole
45-367,Opole,Opole
45-530,Opole,Opole
45-940,Opole,Opole
45-427,Opole,Opole
45-434,Opole,Opole
45-960,Opole,Opole
45-920,Opole,Opole
45-950,Opole,Opole
45-573,Opole,Opole
45-572,Opole,Opole
45-404,Opole,Opole
45-401,Opole,Opole
45-048,Opole,Opole
45-117,Opole,Opole
45-071,Opole,Opole
45-348,Opole,Opole
45-226,Opole,Opole
45-625,Opole,Opole
45-523,Opole,Opole
45-001,Opole,Opole
45-118,Opole,Opole
45-830,Opole,Opole
45-083,Opole,Opole
45-771,Opole,Opole
45-670,Opole,Opole
45-035,Opole,Opole
45-290,Opole,Opole
45-282,Opole,Opole
45-283,Opole,Opole
45-403,Opole,Opole
45-649,Opole,Opole
45-833,Opole,Opole
45-462,Opole,Opole
45-834,Opole,Opole
45-533,Opole,Opole
45-131,Opole,Opole
45-655,Opole,Opole
45-055,Opole,Opole
45-128,Opole,Opole
45-435,Opole,Opole
45-424,Opole,Opole
45-425,Opole,Opole
45-827,Opole,Opole
45-861,Opole,Opole
45-860,Opole,Opole
45-064,Opole,Opole
45-059,Opole,Opole
45-051,Opole,Opole
45-061,Opole,Opole
45-806,Opole,Opole
45-406,Opole,Opole
45-417,Opole,Opole
45-365,Opole,Opole
45-528,Opole,Opole
45-826,Opole,Opole
45-090,Opole,Opole
45-301,Opole,Opole
45-819,Opole,Opole
45-820,Opole,Opole
45-852,Opole,Opole
45-853,Opole,Opole
45-127,Opole,Opole
45-516,Opole,Opole
45-679,Opole,Opole
45-410,Opole,Opole
45-342,Opole,Opole
45-070,Opole,Opole
45-631,Opole,Opole
45-049,Opole,Opole
45-068,Opole,Opole
45-751,Opole,Opole
45-752,Opole,Opole
45-843,Opole,Opole
45-144,Opole,Opole
45-047,Opole,Opole
45-836,Opole,Opole
45-590,Opole,Opole
45-593,Opole,Opole
45-436,Opole,Opole
45-839,Opole,Opole
45-349,Opole,Opole
45-273,Opole,Opole
45-466,Opole,Opole
45-594,Opole,Opole
45-021,Opole,Opole
45-668,Opole,Opole
45-628,Opole,Opole
45-683,Opole,Opole
45-534,Opole,Opole
45-437,Opole,Opole
45-126,Opole,Opole
45-306,Opole,Opole
45-680,Opole,Opole
45-112,Opole,Opole
45-132,Opole,Opole
45-636,Opole,Opole
45-315,Opole,Opole
45-110,Opole,Opole
45-842,Opole,Opole
45-626,Opole,Opole
45-561,Opole,Opole
45-627,Opole,Opole
45-446,Opole,Opole
45-759,Opole,Opole
45-639,Opole,Opole
45-646,Opole,Opole
45-240,Opole,Opole
45-420,Opole,Opole
45-587,Opole,Opole
45-807,Opole,Opole
45-236,Opole,Opole
45-316,Opole,Opole
45-517,Opole,Opole
45-268,Opole,Opole
45-267,Opole,Opole
45-757,Opole,Opole
45-431,Opole,Opole
45-432,Opole,Opole
45-762,Opole,Opole
45-054,Opole,Opole
45-234,Opole,Opole
45-640,Opole,Opole
45-675,Opole,Opole
45-471,Opole,Opole
45-647,Opole,Opole
45-867,Opole,Opole
45-568,Opole,Opole
45-772,Opole,Opole
45-266,Opole,Opole
45-218,Opole,Opole
45-228,Opole,Opole
45-073,Opole,Opole
45-565,Opole,Opole
45-543,Opole,Opole
45-560,Opole,Opole
45-472,Opole,Opole
45-671,Opole,Opole
45-708,Opole,Opole
45-269,Opole,Opole
45-612,Opole,Opole
45-460,Opole,Opole
45-823,Opole,Opole
45-440,Opole,Opole
45-224,Opole,Opole
45-474,Opole,Opole
45-318,Opole,Opole
45-433,Opole,Opole
45-409,Opole,Opole
45-239,Opole,Opole
45-408,Opole,Opole
45-829,Opole,Opole
45-439,Opole,Opole
45-850,Opole,Opole
45-046,Opole,Opole
45-323,Opole,Opole
45-815,Opole,Opole
45-340,Opole,Opole
45-535,Opole,Opole
45-217,Opole,Opole
45-623,Opole,Opole
45-346,Opole,Opole
45-858,Opole,Opole
45-859,Opole,Opole
45-635,Opole,Opole
45-007,Opole,Opole
45-553,Opole,Opole
45-129,Opole,Opole
45-045,Opole,Opole
45-113,Opole,Opole
45-407,Opole,Opole
45-136,Opole,Opole
45-319,Opole,Opole
45-641,Opole,Opole
45-091,Opole,Opole
45-831,Opole,Opole
45-009,Opole,Opole
45-339,Opole,Opole
45-416,Opole,Opole
45-032,Opole,Opole
45-004,Opole,Opole
45-005,Opole,Opole
45-089,Opole,Opole
45-220,Opole,Opole
45-011,Opole,Opole
45-428,Opole,Opole
45-077,Opole,Opole
45-109,Opole,Opole
45-754,Opole,Opole
45-559,Opole,Opole
45-317,Opole,Opole
45-720,Opole,Opole
45-555,Opole,Opole
45-062,Opole,Opole
45-056,Opole,Opole
45-372,Opole,Opole
45-512,Opole,Opole
45-588,Opole,Opole
45-137,Opole,Opole
45-114,Opole,Opole
45-018,Opole,Opole
45-075,Opole,Opole
45-715,Opole,Opole
45-760,Opole,Opole
45-363,Opole,Opole
45-023,Opole,Opole
45-662,Opole,Opole
45-441,Opole,Opole
45-092,Opole,Opole
45-013,Opole,Opole
45-575,Opole,Opole
45-580,Opole,Opole
45-821,Opole,Opole
45-311,Opole,Opole
45-804,Opole,Opole
45-230,Opole,Opole
45-459,Opole,Opole
45-569,Opole,Opole
45-844,Opole,Opole
45-840,Opole,Opole
45-470,Opole,Opole
45-527,Opole,Opole
45-857,Opole,Opole
45-856,Opole,Opole
45-513,Opole,Opole
45-476,Opole,Opole
45-442,Opole,Opole
45-141,Opole,Opole
45-714,Opole,Opole
45-362,Opole,Opole
45-677,Opole,Opole
45-086,Opole,Opole
45-402,Opole,Opole
45-562,Opole,Opole
45-305,Opole,Opole
45-036,Opole,Opole
45-215,Opole,Opole
45-233,Opole,Opole
45-031,Opole,Opole
45-238,Opole,Opole
45-324,Opole,Opole
45-307,Opole,Opole
45-518,Opole,Opole
45-119,Opole,Opole
45-765,Opole,Opole
45-069,Opole,Opole
45-355,Opole,Opole
45-356,Opole,Opole
45-357,Opole,Opole
45-661,Opole,Opole
45-227,Opole,Opole
45-536,Opole,Opole
45-030,Opole,Opole
45-682,Opole,Opole
45-618,Opole,Opole
45-020,Opole,Opole
45-578,Opole,Opole
45-838,Opole,Opole
45-532,Opole,Opole
45-308,Opole,Opole
45-310,Opole,Opole
45-644,Opole,Opole
45-632,Opole,Opole
45-115,Opole,Opole
45-591,Opole,Opole
45-040,Opole,Opole
45-271,Opole,Opole
45-825,Opole,Opole
45-514,Opole,Opole
45-592,Opole,Opole
45-017,Opole,Opole
45-676,Opole,Opole
45-522,Opole,Opole
45-726,Opole,Opole
45-531,Opole,Opole
45-767,Opole,Opole
45-653,Opole,Opole
45-079,Opole,Opole
45-026,Opole,Opole
45-630,Opole,Opole
45-038,Opole,Opole
45-558,Opole,Opole
45-229,Opole,Opole
45-571,Opole,Opole
45-712,Opole,Opole
45-085,Opole,Opole
45-710,Opole,Opole
45-865,Opole,Opole
45-864,Opole,Opole
45-515,Opole,Opole
45-225,Opole,Opole
45-814,Opole,Opole
45-235,Opole,Opole
45-723,Opole,Opole
45-034,Opole,Opole
45-704,Opole,Opole
45-774,Opole,Opole
45-713,Opole,Opole
45-414,Opole,Opole
45-052,Opole,Opole
45-222,Opole,Opole
45-231,Opole,Opole
45-681,Opole,Opole
45-006,Opole,Opole
45-542,Opole,Opole
45-371,Opole,Opole
45-475,Opole,Opole
45-058,Opole,Opole
45-027,Opole,Opole
45-557,Opole,Opole
45-088,Opole,Opole
45-237,Opole,Opole
45-368,Opole,Opole
45-370,Opole,Opole
45-309,Opole,Opole
45-552,Opole,Opole
45-801,Opole,Opole
45-802,Opole,Opole
45-087,Opole,Opole
45-648,Opole,Opole
45-081,Opole,Opole
45-638,Opole,Opole
45-331,Opole,Opole
45-706,Opole,Opole
45-304,Opole,Opole
45-725,Opole,Opole
45-841,Opole,Opole
45-057,Opole,Opole
45-669,Opole,Opole
45-654,Opole,Opole
45-359,Opole,Opole
45-361,Opole,Opole
45-360,Opole,Opole
45-634,Opole,Opole
45-520,Opole,Opole
45-574,Opole,Opole
45-321,Opole,Opole
45-601,Opole,Opole
45-116,Opole,Opole
45-002,Opole,Opole
45-078,Opole,Opole
45-108,Opole,Opole
45-473,Opole,Opole
45-313,Opole,Opole
45-805,Opole,Opole
45-526,Opole,Opole
